BAHÍA BLANCA,DEPORTE,AGUAMARINA SPORT,BELGRANO 207,291,4500859,15
BAHÍA BLANCA,DEPORTE,BAHÍA DEPORTES,AV. ARIAS 2009,,,10
PUNTA ALTA,INDUMENTARIA,SURFSHOP BAMBACI,MURATURE 459,2932,421754,10
PUNTA ALTA,INDUMENTARIA,TERRITORIO EXTREMO,PELLEGRINI 68,,,15
ALLEN,INDUMENTARIA,LOREDANA,AV. ROCA 301,298,4451827,15
ALLEN,INDUMENTARIA,LUZ SPORT,TOMÁS ORELL 279,298,4453027,15
AZUL,INDUMENTARIA,CHE BERLÍN,SAN MARTÍN 590,2281,633996,15
BENITO JUÁREZ,ZAPATERÍA,CALZADOS CARIOCA,AV. LIBERTAD 137,2292,454502,10
BOLÍVAR,DEPORTE,SIN LÍMITE,AV. SAN MARTÍN 295,2314,411974,15
BOLÍVAR,INDUMENTARIA,CAPRICHOSAS,GÜEMES 32,2314,576397,15
CHOELE CHOEL,INDUMENTARIA,LA ECONÓMICA-CHOELE CHOEL,25 DE MAYO 201,2946,442446,15
CARHUÉ,INDUMENTARIA,YG INDUMENTARIA,COLÓN 1177,2923,696546,15
CORONEL PRINGLES,ZAPATERÍA,MAURO CALZADOS,STEGMANN 763,2922,466077,10
GUATRACHÉ,INDUMENTARIA,STYLO MODAS,AV. ZEBALLOS 290,2924,492675,15
LOBERÍA,INDUMENTARIA,LOS GALLEGUITOS,AV. CAMPOS 148,2261,440167,15
LOBERÍA,INDUMENTARIA,MATICES,AV. MITRE 47,2262,633292,15
MAR DEL PLATA,ÓPTICA,ÓPTICA VAL MIC,DIAGONAL PUEYRREDÓN 3031,223,5999988,15
MAR DEL PLATA,ÓPTICA,ÓPTICA VISIÓN SOCIAL,J. PERALTA RAMOS 2132,223,4938286,15
PEHUAJÓ,INDUMENTARIA,ALFIS JEAN,ALEM 570,2396,401221,15
PLOTTIER,INDUMENTARIA,SOUTH SNEAKERS,SAN MARTÍN 89 LOCAL 1,299,4936898,15
