Localidad,Rubro,NomComercio,Direccion,Prefijo,NroTel,Dto,Provincia,ImgCooBUENOS AIRESp,ImgCoopLink,ImgComercio,Latitud,Longitud
BAHÍA BLANCA,DEPORTE,AGUAMARINA SPORT,BELGRANO 207,291,4500859,15,BUENOS AIRES,slider-coopeplus1,https://www.coopeplus.com.ar/,CooperativaObrera,-38.7177012,-62.2612873
BAHÍA BLANCA,DEPORTE,BAHÍA DEPORTES,AV. ARIAS 2009,,,15,BUENOS AIRES,,,CooperativaObrera,-38.7532456,-62.2661058
BAHÍA BLANCA,DEPORTE,BIENESTAR SPORT,O´HIGGINS 201,291,4548621,15,BUENOS AIRES,,,CooperativaObrera,-38.72165,-62.2684
BAHÍA BLANCA,DEPORTE,FIT DK,YRIGOYEN 110,291,4531070,15,BUENOS AIRES,,,CooperativaObrera,-38.7165545,-62.2649696
BAHÍA BLANCA,DEPORTE,FITNESS SPORT CENTER,SOLER 206,291,4526868,15,BUENOS AIRES,,,CooperativaObrera,-38.7177928,-62.2613309
BAHÍA BLANCA,DEPORTE,LA FÁBRICA,O´HIGGINS 77,291,4552561,15,BUENOS AIRES,,,CooperativaObrera,-38.720241,-62.2668309
BAHÍA BLANCA,DEPORTE,TODO TENIS,GENERAL PAZ 172,291,4521218,15,BUENOS AIRES,,,CooperativaObrera,-38.7206154,-62.2585297
BAHÍA BLANCA,FARMACIA,FARMACIA GRÜNBEIN,RAFAEL OBLIGADO 5766,291,4822525,10,BUENOS AIRES,,,CooperativaObrera,-38.7540449,-62.1786371
BAHÍA BLANCA,INDUMENTARIA,AIR PUMPS,ALSINA 111,291,4556619,15,BUENOS AIRES,,,CooperativaObrera,-38.7175861,-62.2633495
BAHÍA BLANCA,INDUMENTARIA,ALFIS JEANS,BELGRANO 50,291,4520987,15,BUENOS AIRES,,,CooperativaObrera,-38.7192055,-62.2635675
BAHÍA BLANCA,INDUMENTARIA,ANIS,DRAGO 192,291,4565264,15,BUENOS AIRES,,,CooperativaObrera,-38.7206545,-62.2652936
BAHÍA BLANCA,INDUMENTARIA,ARIES INDUMENTARIA,AV. ARIAS 2132,,,15,BUENOS AIRES,,,CooperativaObrera,-38.75401,-62.264609
BAHÍA BLANCA,INDUMENTARIA,ATOBA,ALSINA 122,291,4556524,10,BUENOS AIRES,,,CooperativaObrera,-38.7173886,-62.2635198
BAHÍA BLANCA,INDUMENTARIA,BACOLINO,BELGRANO 73,291,4565939,15,BUENOS AIRES,,,CooperativaObrera,-38.7189768,-62.2630166
BAHÍA BLANCA,INDUMENTARIA,BIOFITNESS,12 DE OCTUBRE 176,291,154298650,10,BUENOS AIRES,,,CooperativaObrera,-38.7107373,-62.2603949
BAHÍA BLANCA,INDUMENTARIA,BORA BORA,SOLER 114,291,4542619,15,BUENOS AIRES,,,CooperativaObrera,-38.7169578,-62.2622573
BAHÍA BLANCA,INDUMENTARIA,BRITCHES,ALSINA 99,291,4527766,15,BUENOS AIRES,,,CooperativaObrera,-38.7178593,-62.2637207
BAHÍA BLANCA,INDUMENTARIA,BUENA VIDA,TUCUMÁN 1299,291,154251629,10,BUENOS AIRES,,,CooperativaObrera,-38.7129679,-62.2886073
BAHÍA BLANCA,INDUMENTARIA,BUENA VIDA INDUMENTARIA DEPORTIVA,11 DE ABRIL 14,291,156463138,15,BUENOS AIRES,,,,-38.714595,-62.2707514
BAHÍA BLANCA,DEPORTE,NÉSTOR MAZZA,DON BOSCO 486,291,4536846,15,BUENOS AIRES,,,CooperativaObrera,-38.727075,-62.287859
BAHÍA BLANCA,INDUMENTARIA,CARDÓN,SOLER 45,291,4510471,15,BUENOS AIRES,,,CooperativaObrera,-38.7164592,-62.2633728
BAHÍA BLANCA,INDUMENTARIA,CASA BLANCA SHOWROOM,ESPAÑA 382,,,15,BUENOS AIRES,,,CooperativaObrera,-38.7183177,-62.2663478
BAHÍA BLANCA,INDUMENTARIA,CASUAL DAY,ESTOMBA 298,291,4520683,15,BUENOS AIRES,,,CooperativaObrera,-38.7160188,-62.2694904
BAHÍA BLANCA,INDUMENTARIA,CIUDAD MÁGICA INDUMENTARIA,NECOCHEA 1174,291,4814612,15,BUENOS AIRES,,,CooperativaObrera,-38.729278,-62.2301847
BAHÍA BLANCA,INDUMENTARIA,COCO RAYADO,BELGRANO 87,291,4562151,15,BUENOS AIRES,,,CooperativaObrera,-38.7188614,-62.2627429
